Codi,Districte,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
1,Ciutat Vella,18.1334753305478,16.603084134032628,16.66173830392601,15.789267381025752,13.24139555443576,14.341541644446082,14.772021976328322,14.456812340721505,15.45951524758456,13.89518831288294,12.4479,11.381340225650472,11.37974133123454,11.655650131989441,12.046659009009009,12.071577026062748,12.415282407223172,12.56505038014654,11.603486408912405,10.690950547944995,9.764863928577377,8.564199829001941,7.585765835290708,7.2899170580687445,6.431009509248491,5.528870568546405
2,Eixample,16.8404352280259,16.641437695556558,16.51219860805007,14.934769543662117,13.34610317373871,14.216685034875972,14.340369255043607,13.730797573701322,13.425711852306698,12.389522609971669,11.1788,10.276293912485288,10.240287233827834,10.752241735849056,11.187998967157943,11.344243846529984,11.64339566631942,11.89104061741537,11.26392923970429,10.262810033931741,9.485811836007874,8.45316270662143,7.881907031467924,7.46612493553679,6.809718132405686,5.753806515856773
3,Sants-Montjuïc,16.4100623520412,15.645093197387117,16.325533372875455,14.077912813956655,12.966141929269163,13.643583254324422,13.493589714959217,13.013694474684304,12.916237980873365,11.662248987586233,10.6603,9.886286362719387,10.10302059119244,10.760943246697911,11.29854841457643,11.547265358222283,11.905331021075812,12.220043119395726,11.28037382189527,10.48661572326804,9.50581472376671,8.68214719778857,7.7653972898011565,7.510634263348003,6.681541047842147,6.054530627452976
4,Les Corts,17.6552649762492,17.38890334023618,16.768752005266844,15.232211739502759,13.841062112239207,14.671889257276028,14.953949641015377,14.521214663295696,14.222910061125784,13.167702948259311,11.9732,11.010504704016913,11.179403518123666,11.615526112565446,12.115797311827958,12.313655228326642,12.91152067604913,13.377185614119131,13.0100295942631,11.852606520121242,10.782921212171662,9.95950767570113,9.343052417774599,8.895366290573323,8.642025188792244,7.590490145595931
5,Sarrià-Sant Gervasi,19.0641817654494,18.358875252422827,18.24403261856667,16.227019849117223,14.864003111831288,15.592312870831625,15.712232019076895,15.438745019226067,15.429479366436746,14.314498634345624,12.9586,11.861020264623958,11.724962031213604,12.265352020460359,12.793460322580646,12.805247722084996,12.853166083920865,13.288333321785734,12.709287762313615,11.63110269485548,10.847407787241837,10.004103999309109,9.354016716819235,9.063605928222552,8.239989245340707,7.40303745199043
6,Gràcia,17.7336215961618,17.497989728355034,16.881796281514262,15.284601027755764,13.807720299954452,14.43855476244581,14.633716285034627,14.044274648500572,14.251854730867938,12.947468825060266,11.819,10.771540234461401,10.954201653439153,11.393149976303317,12.030903639514733,12.566051944349201,12.810799177577069,13.016717442618166,12.45310321758511,11.255501748332295,10.175668348196968,9.267069891529525,8.414799619480506,8.079914909394859,7.04289028047187,6.3197849179805
7,Horta-Guinardó,14.9533967162754,14.499193146822348,14.478023732600183,13.095282212156635,12.223027829637541,12.784910097589817,12.713419643073012,11.869339525053261,11.880497769484727,10.731193343944957,9.9169,9.026705138852842,9.322885312831389,10.0970948964275,10.567539344262295,10.803945029523524,11.388754622669026,12.038412491085989,11.078195925581714,10.179317263486956,9.183358516864777,8.278920866618337,7.6513971380237695,7.088646849615401,6.447715454270974,5.750422725311728
8,Nou Barris,13.4365096996452,13.05828655677281,13.258638178691509,12.078221950662728,11.280114367425028,11.721067925385093,11.704159077470246,11.222201644361979,10.553408355252381,9.647198617597638,8.865,8.397351861042184,8.747263415414135,9.47812604925425,10.33118685320046,10.738417949910426,11.172902274433385,11.479856545605465,10.825412200373641,9.937049050961578,8.88368005976872,7.944112744982352,7.280711122228756,7.1524886263823415,6.245917340053449,5.408727812525725
9,Sant Andreu,14.1119115165096,13.655981562833402,13.83335646289028,12.512591464930761,11.7324421175825,12.348724777227934,12.213270393683214,11.743619828288631,11.364525518239503,10.39101392041707,9.6108,8.862924061882818,9.206498129307516,9.840602150929637,10.449476738609112,10.653364382097179,11.135617408920202,11.453578661609699,10.724708283111191,9.5660905961119,8.984136292349216,7.8470407597635505,7.251006139438733,6.714628553391393,6.081087361281004,5.46292903478308
10, Sant Martí,16.5341001194177,16.23555895841007,16.17791361058518,14.486667405044841,13.305868978072832,13.791971112621141,13.851504208454157,13.213822614293845,12.90072470859041,11.739008175361821,10.6448,9.747699310064935,9.87278636081835,10.481658379888268,10.896385520593501,11.227628988174132,11.592415122394192,11.839602769884259,11.214457967313717,10.347841618899121,9.202702900750932,8.201924346359524,7.652149223977344,7.470087545935471,6.501688217500409,5.740469059714852
